,mz,ISP2_2_MR1_1|D1|9b176338-f1f4-4b97-ab07-483c98d3b21e,ISP2_2_MR1_2|D2|dd613e71-0682-4482-a1f3-7eef4a1e2a89,ISP2_2_MR1_3|D3|6ce3ad15-4880-4e70-a1f9-3cd79bfadc84,ISP2_2_MR1_4|D4|c5ab95ee-1ae7-4c8d-9d24-a8fc6285f581,ISP2_2_MR1_5|D5|7bc3e656-d008-4e41-9aa9-7bc45307b012
1841,292.1713,2490.0,1893.0,1809.0,1149.0,1101.0
1842,292.174,1660.0,1262.0,1206.0,766.0,734.0
1843,292.1848,2490.0,1515.0,1527.0,1227.0,783.0
1844,292.1875,830.0,505.0,509.0,409.0,261.0
1845,292.2064,2460.0,1576.0,2008.0,1520.0,1144.0
1846,292.2091,615.0,394.0,502.0,380.0,286.0
1847,292.228,615.0,394.0,502.0,380.0,314.0
1848,293.1121,479.0,731.0,252.0,589.0,286.0
1849,293.1148,479.0,731.0,252.0,589.0,286.0
1850,293.1202,479.0,731.0,306.0,589.0,286.0
1851,293.1337,958.0,1462.0,824.0,1178.0,940.0
1852,293.1364,1437.0,2193.0,1236.0,1767.0,1410.0
1853,293.1554,6240.0,7120.0,4296.0,3468.0,4344.0
1854,293.1581,1560.0,1780.0,1074.0,867.0,1086.0
1855,293.1689,7090.0,7930.0,5110.0,3815.0,6800.0
1856,293.1905,2313.0,1530.0,1413.0,1116.0,810.0
1857,293.1932,771.0,510.0,471.0,372.0,270.0
1858,293.1959,771.0,490.0,471.0,372.0,261.0
1859,293.1987,771.0,490.0,471.0,372.0,261.0
1860,293.2041,1542.0,976.0,1066.0,744.0,698.0
1861,293.2068,1542.0,976.0,1066.0,744.0,698.0
1862,293.2365,2457.0,1891.0,1555.0,1154.0,1544.0
1863,293.2392,9828.0,7564.0,6220.0,4616.0,6176.0
1864,293.2988,0.0,0.0,288.0,0.0,271.0
1865,293.3015,0.0,0.0,288.0,0.0,271.0
1866,294.0544,0.0,0.0,0.0,348.0,0.0
1867,294.1275,876.0,419.0,280.0,366.0,305.0
1868,294.1329,876.0,419.0,280.0,366.0,305.0
1869,294.1384,876.0,419.0,523.0,366.0,305.0
1870,294.1465,876.0,743.0,523.0,360.0,305.0
1871,294.1492,1752.0,1486.0,1046.0,720.0,610.0
1872,294.1519,876.0,743.0,523.0,360.0,305.0
1873,294.1546,876.0,743.0,523.0,360.0,305.0
1874,294.1709,7652.0,5480.0,2768.0,3132.0,4832.0
1875,294.1736,1913.0,1370.0,692.0,783.0,1208.0
1876,294.1872,3870.0,3365.0,3105.0,2630.0,2075.0
1877,294.198,774.0,673.0,362.0,526.0,240.0
1878,294.2034,774.0,673.0,362.0,526.0,240.0
1879,294.2115,493.0,673.0,260.0,377.0,240.0
1880,294.2224,986.0,1346.0,1220.0,754.0,744.0
1881,294.2251,493.0,673.0,610.0,377.0,372.0
1882,294.2387,449.0,0.0,610.0,275.0,372.0
1883,294.2414,898.0,0.0,1220.0,550.0,744.0
1884,295.1122,1044.0,848.0,704.0,560.0,578.0
1885,295.1149,1044.0,848.0,704.0,560.0,578.0
1886,295.1339,522.0,424.0,620.0,987.0,253.0
1887,295.1366,1027.0,424.0,620.0,987.0,253.0
1888,295.1475,1027.0,1133.0,620.0,987.0,516.0
1889,295.1502,2054.0,2266.0,1108.0,1974.0,1032.0
1890,295.1529,3081.0,3399.0,1662.0,2961.0,1548.0
1891,295.1556,1027.0,1133.0,554.0,987.0,501.0
1892,295.1692,1705.0,1296.0,859.0,628.0,1119.0
1893,295.1719,6820.0,5184.0,3436.0,2512.0,4476.0
1894,295.1855,2948.0,2008.0,2080.0,1240.0,1900.0
1895,295.1882,737.0,502.0,520.0,310.0,475.0
1896,295.2208,737.0,502.0,267.0,310.0,253.0
1897,295.2235,737.0,502.0,267.0,310.0,253.0
1898,296.0685,536.0,0.0,288.0,363.0,310.0
1899,296.0712,1072.0,0.0,576.0,726.0,620.0
1900,296.0767,536.0,0.0,288.0,363.0,284.0
1901,296.0848,536.0,409.0,288.0,363.0,301.0
1902,296.0984,433.0,409.0,288.0,363.0,285.0
1903,296.1066,433.0,409.0,286.0,382.0,285.0
1904,296.1093,866.0,818.0,572.0,764.0,570.0
1905,296.1175,433.0,409.0,240.0,382.0,285.0
1906,296.1284,513.0,409.0,240.0,382.0,285.0
1907,296.1392,513.0,660.0,608.0,382.0,375.0
1908,296.1447,1539.0,1980.0,1824.0,1146.0,1125.0
1909,296.1501,513.0,660.0,608.0,382.0,375.0
1910,296.1664,46030.0,40010.0,31455.0,16800.0,24320.0
1911,296.1827,1576.0,2136.0,1472.0,1210.0,1440.0
1912,296.1882,1576.0,2136.0,1162.0,1210.0,1440.0
1913,296.1909,1576.0,2136.0,1162.0,1210.0,1440.0
1914,296.1991,1525.0,825.0,792.0,624.0,794.0
1915,296.2018,4575.0,2475.0,2376.0,1872.0,2382.0
1916,296.2045,1525.0,825.0,792.0,624.0,794.0
1917,296.2997,0.0,1326.0,0.0,1341.0,1005.0
1918,297.0809,582.0,791.0,261.0,463.0,521.0
1919,297.1272,582.0,791.0,607.0,463.0,521.0
1920,297.1299,2328.0,3164.0,2428.0,1852.0,2084.0
1921,297.1463,611.0,551.0,389.0,275.0,345.0
1922,297.149,2444.0,2204.0,1556.0,1100.0,1380.0
1923,297.1654,4832.0,3442.0,2988.0,2418.0,1984.0
1924,297.1681,7248.0,5163.0,4482.0,3627.0,2976.0
1925,297.1872,1432.0,1290.0,892.0,804.0,888.0
1926,297.2008,716.0,648.0,437.0,402.0,444.0
1927,297.2035,2864.0,2592.0,1748.0,1608.0,1776.0
1928,297.2117,716.0,648.0,437.0,270.0,444.0
1929,297.2307,716.0,482.0,299.0,240.0,229.0
1930,297.2335,716.0,482.0,299.0,240.0,229.0
1931,297.2362,1432.0,964.0,598.0,480.0,458.0
1932,298.1059,834.0,407.0,236.0,371.0,264.0
1933,298.1087,834.0,407.0,236.0,371.0,264.0
1934,298.1223,1668.0,1164.0,472.0,742.0,1048.0
1935,298.125,2502.0,1746.0,708.0,1113.0,1572.0
1936,298.136,834.0,400.0,261.0,371.0,239.0
1937,298.1414,577.0,400.0,261.0,371.0,239.0
1938,298.1469,1731.0,1200.0,1077.0,2109.0,717.0
1939,298.1605,6225.0,5890.0,5995.0,3515.0,3785.0
1940,298.1714,1245.0,493.0,1199.0,374.0,757.0
1941,298.1796,686.0,493.0,502.0,328.0,232.0
1942,298.1824,1372.0,986.0,1004.0,656.0,464.0
1943,298.1851,1372.0,986.0,1004.0,656.0,464.0
1944,298.1933,890.0,986.0,848.0,756.0,946.0
1945,298.196,445.0,493.0,424.0,378.0,473.0
1946,298.1987,445.0,493.0,424.0,378.0,473.0
1947,298.2069,445.0,493.0,325.0,378.0,473.0
1948,298.2124,445.0,493.0,284.0,378.0,473.0
1949,298.3516,493.0,0.0,0.0,266.0,0.0
1950,298.3543,493.0,0.0,0.0,266.0,0.0
1951,299.1081,1066.0,1092.0,289.0,317.0,649.0
1952,299.1218,1066.0,1092.0,289.0,317.0,649.0
1953,299.1437,2132.0,2184.0,1822.0,1366.0,1298.0
1954,299.1464,3198.0,3276.0,2733.0,2049.0,1947.0
1955,299.1546,1066.0,561.0,911.0,382.0,649.0
1956,299.1628,2058.0,2079.0,1239.0,1146.0,1134.0
1957,299.1655,1372.0,1386.0,826.0,764.0,756.0
1958,299.1792,1692.0,2554.0,2196.0,1194.0,2234.0
1959,299.1819,2538.0,3831.0,3294.0,1791.0,3351.0
1960,299.1929,1692.0,2554.0,626.0,588.0,2234.0
1961,299.2038,846.0,422.0,272.0,294.0,340.0
1962,299.2175,10384.0,1688.0,1576.0,1144.0,1360.0
1963,299.2284,2596.0,422.0,326.0,286.0,340.0
1964,299.2503,10384.0,6092.0,7384.0,2556.0,5676.0
1965,299.253,2596.0,1523.0,1846.0,639.0,1419.0
1966,300.0901,811.0,1151.0,422.0,1119.0,578.0
1967,300.0929,3244.0,4604.0,1688.0,4476.0,2312.0
1968,300.1175,1558.0,1174.0,1682.0,556.0,670.0
1969,300.1202,2337.0,1761.0,2523.0,834.0,1005.0
1970,300.1257,779.0,587.0,841.0,278.0,290.0
1971,300.1367,617.0,503.0,388.0,318.0,290.0
1972,300.1394,1234.0,1006.0,776.0,636.0,580.0
1973,300.1421,617.0,503.0,388.0,318.0,242.0
1974,300.1504,487.0,503.0,347.0,342.0,242.0
1975,300.1531,974.0,1006.0,694.0,684.0,484.0
1976,300.1558,487.0,821.0,347.0,342.0,242.0
1977,300.175,4670.0,4105.0,5275.0,1860.0,4185.0
1978,300.1832,934.0,821.0,1055.0,498.0,837.0
1979,300.1942,439.0,430.0,426.0,498.0,837.0
1980,300.1996,439.0,430.0,426.0,498.0,322.0
1981,300.2106,439.0,430.0,471.0,498.0,322.0
1982,300.2133,878.0,860.0,942.0,996.0,644.0
1983,300.2517,918.0,860.0,484.0,490.0,572.0
1984,300.2544,459.0,430.0,242.0,245.0,286.0
1985,300.2927,459.0,0.0,242.0,245.0,286.0
1986,301.0984,907.0,845.0,639.0,236.0,638.0
1987,301.1231,4535.0,4225.0,3195.0,2370.0,3190.0
1988,301.1368,907.0,478.0,412.0,303.0,261.0
1989,301.1395,2721.0,1434.0,1236.0,909.0,783.0
1990,301.1478,1786.0,528.0,412.0,303.0,261.0
1991,301.1587,5358.0,4977.0,3447.0,2898.0,3150.0
1992,301.1615,3572.0,3318.0,2298.0,1932.0,2100.0
1993,301.1944,1852.0,1890.0,2020.0,766.0,1154.0
1994,301.1971,1852.0,1890.0,2020.0,766.0,1154.0
1995,301.1999,926.0,945.0,1010.0,383.0,577.0
1996,301.2355,565.0,945.0,244.0,239.0,320.0
1997,301.2437,2260.0,3780.0,1340.0,956.0,1280.0
1998,302.1083,847.0,469.0,496.0,297.0,343.0
1999,302.1248,847.0,469.0,496.0,320.0,343.0
2000,302.1303,847.0,469.0,496.0,320.0,343.0
2001,302.1331,847.0,469.0,496.0,320.0,343.0
2002,302.1441,3388.0,2052.0,2695.0,944.0,1372.0
2003,302.155,1892.0,2552.0,1466.0,912.0,1210.0
2004,302.1578,2838.0,3828.0,2199.0,1368.0,1815.0
2005,302.1688,946.0,1276.0,419.0,456.0,605.0
2006,302.1908,4398.0,3102.0,5070.0,2340.0,3174.0
2007,302.1935,1466.0,1034.0,1690.0,780.0,1058.0
2008,302.1963,1466.0,1034.0,1690.0,780.0,1058.0
2009,302.2265,1466.0,1034.0,250.0,241.0,244.0
2010,302.2292,1466.0,1034.0,250.0,241.0,244.0
2011,302.2375,1466.0,1034.0,250.0,241.0,244.0
2012,302.2897,0.0,0.0,2469.0,771.0,1077.0
2013,303.12,937.0,1133.0,774.0,571.0,279.0
2014,303.1393,2811.0,3399.0,2322.0,1713.0,2610.0
2015,303.142,937.0,1133.0,774.0,571.0,870.0
2016,303.1448,937.0,1133.0,774.0,571.0,870.0
2017,303.1503,1572.0,1924.0,1548.0,864.0,1180.0
2018,303.153,1572.0,1924.0,1548.0,864.0,1180.0
2019,303.1778,5472.0,6531.0,4131.0,4101.0,4116.0
2020,303.1805,3648.0,4354.0,2754.0,2734.0,2744.0
2021,303.1943,596.0,2177.0,567.0,1367.0,246.0
2022,303.197,596.0,2177.0,567.0,1367.0,246.0
2023,303.1998,596.0,5319.0,567.0,1367.0,246.0
2024,303.2191,27115.0,26595.0,13050.0,20905.0,18025.0
2025,303.9212,0.0,0.0,0.0,2090.0,1254.0
2026,304.1223,1602.0,1398.0,879.0,849.0,903.0
2027,304.1361,1602.0,1887.0,1206.0,1185.0,903.0
2028,304.1416,534.0,629.0,402.0,395.0,301.0
2029,304.1499,1068.0,1258.0,680.0,790.0,734.0
2030,304.1526,1068.0,4070.0,680.0,790.0,734.0
2031,304.1692,13225.0,10175.0,5815.0,5615.0,6835.0
